date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-28, Expert,,"Former Employee, more than 5 years",Working for Apple,"The People there are great
","The culture there screams lies of inclusivity.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Disagree,Disagree
2021-09-28, Apple Specialist (Sales),"Cherry Hill, NJ","Current Employee, more than 1 year",Not much internal growth,"- Plenty to learn
- Lots of individual growth, both as a professional & just a person
- Masterful use of command skills
- amazing benefits
","- Not great pay for an actual adult
- Not understanding or flexible of various employee needs or outside of work circumstances 
- COMPLETE lack of growth or opportunity
Advice to Management
Just let people grow more internally & pay people what they deserve for their amazing & thoughtful work that they do. If done correctly, this would easily be a 5 star company to work for.
Be the first to find this review helpful
Helpful
Share
Repor","Just let people grow more internally & pay people what they deserve for their amazing & thoughtful work that they do. If done correctly, this would easily be a 5 star company to work for.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Agree
2021-09-28,Anonymous,,Current Employee,Good place to work,"Good environment and good support
","Can be slow at times
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Genius,,Current Employee,Great,"Mental heath and good environment
","It is still a corporation
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-28, Apple At Home Advisor,Cork,"Current Employee, less than 1 year",Nice starting salary,"Benefits given by the company, you can work from home,
","Can't complain to be honest
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-28, Senior Software Engineer,"Cupertino, CA","Former Employee, more than 3 years",Exciting,"highly qualified, motivated and driven group of people.
","I don't think I worked significantly more there but constant pressure does take toll.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-28, CEO,,Current Employee,good,"you can get lots of money in this company
","good good good good good
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-28, Technical Project Manager ,"Cupertino, CA","Former Employee, more than 3 years",IT team,"Company reputation is very good
","Internal politics and heavy workload
Advice to Management
Please try to stop groupism and unethical practices
Be the first to find this review helpful
Helpful
Share
Repor","Please try to stop groupism and unethical practices
Be the first to find this review helpful
Helpful
Share
Repor",1.0,N/A,N/A,N/A
2021-09-27, Executive,"San Jose, CA",Current Employee,Very Good,"Congenial and promotes innovation. Good team members.
","Too much workload; Very little time off; Need to work weekends.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-27, Team Leader,Cork,Current Employee,Tough place,"Good pay
Good benefits Good people
","Mentally tough
Expect a lot from you
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-27, Product Zone Specialist,"Miami, FL","Former Employee, more than 1 year",Fun Job,"Learned a lot that can help others
","Growth track may depend on certain variables
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-27, Online and In Store Customer Support,"Austin, TX","Former Employee, more than 8 years",Great company; takes care of you.,"-opportunity for growth and looking for positions if desired 
- great boss and great environment
","some is our processes could have been more streamlined and shared among the large group of us doing the same work.
Advice to Management
hire me back when i'm done being a stay at home mom!
Be the first to find this review helpful
Helpful
Share
Repor","hire me back when i'm done being a stay at home mom!
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-27, SRE/DevOps Engineer,"Cupertino, CA","Current Employee, more than 1 year",Not all is good,"Good Pay and work from home flexibility
","Apple really doesn't care about employees. Dumps them very quick.
Advice to Management
Listen to the employees and take care of them.
Be the first to find this review helpful
Helpful
Share
Repor","Listen to the employees and take care of them.
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Disagree,Disagree
2021-09-27, Software Engineer,,"Current Employee, more than 5 years",Software Engineer,"they have good leaning in working
","it is nothing about that
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Disagree
2021-09-27, Apple Genius,,"Former Employee, more than 5 years",One of the best companies around,"- Team oriented work environment with room to grow
- No prior knowledge of apple products required
- Inclusive work culture
","- Management teams vary
- Retail hours can be inconsistent
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-27, Expert,"Newport Beach, CA","Current Employee, more than 1 year",High standards,"A lot of opportunities for upward mobility
Great benefits
High energy work environment
","Standards sometimes feel out of reach (even when exceeding expectations)
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Neutral
2021-09-27, Sales Specialist,,"Current Employee, more than 1 year",Robots Over Here and Over There,"The pay is better than most retailers in the area.
","While they stress the importance of trying to get extra info from costumers, management makes no effort to do the same for the people they hire. In a season with so many deaths and sadness, because of the pandemic, most of the upper management really don't seem to care about their employees mental health... outside of if they need a 15 minute break. Those breaks are no where need long enough!
Advice to Management
How about you slow things down and remember that the people under you are not machines, they are human like you! Step away from the numbers for once and act like you actually care.
1 person found this review helpful
Helpful
Share
Repor","How about you slow things down and remember that the people under you are not machines, they are human like you! Step away from the numbers for once and act like you actually care.
1 person found this review helpful
Helpful
Share
Repor",1.0,Disagree,Disagree,Disagree
2021-09-27, Tier II Technical Support,"Sacramento, CA","Current Employee, more than 5 years",Pay isn’t sufficient,"Learn a lot due to quick change
","Pay isn’t adequate and job isn’t rewarding
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Disagree,Disagree
2021-09-27, Operations Expert,"San Diego, CA",Current Employee,Good company to work for. Not the best pay for the work load,"loads of benefits and fun place to work
","not a competitive pay and super tiring
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-27, Specialist,"Greenhithe, England, England",Current Employee,A rewarding time in my life,"Warm and welcoming company.
Valuable skills to learn and a high calibur of training.
Excellent pay and benefits package
","Almost too tightly knit team.
Varied opinions are not welcomed (despite what they say)
Encouraged to “tow the line” if you want to progress.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-27, Technical Expert,"Little Rock, AR","Former Employee, more than 3 years",Loved it!,"Benefits are great
career experiences are once in a lifetime opportunities
will meet lifelong friends
","can get super busy at times
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Agree
2021-09-27, Technical Expert,,Current Employee,The best company there is!,"Awesome, cant say nothing wrong
","None, LOVE working here. the best!
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-27, Script Writer,Lagos,"Current Employee, more than 10 years",It's a professional activity I am engaging myself with and I am happy this is getting good in turn to the reward of life,"To acquire currency and knowledge from the author and audience view.
","Working as a freelancer at home, when you are not at desk in the company's office.
Advice to Management
Keep up doing the good work!
Be the first to find this review helpful
Helpful
Share
Repor","Keep up doing the good work!
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-27, Genuis,,"Current Employee, less than 1 year",Genuis Bar,"Was a great and caring work environment
","Sometimes the job can get hectic
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,Disagree
2021-09-27, Content Specialist,,Current Employee,A great company to work,"so good in terms of having an international environment
","not so competitive salaries for job
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-27, Campus Representative,"Boston, MA","Current Employee, more than 3 years",Great internship and experience,"Flexible hours, real-world marketing experiences and fantastic resume building challenges
","Workload and sheer number of assigned tasks can be overwhelming if not managed properly. As you work independently from any other Campus rep in this position your time management skills need to be top notch. Reaching out other reps and your account manager for best practices and to share information is a must but ultimately you are working on various campus locations solo.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-27, Technical Advisor,,"Former Employee, more than 1 year",Very Flexible,"Worked a part time college technical advisor was very fun learners alo
","At times too much micromanagement
Advice to Management
N/a
Be the first to find this review helpful
Helpful
Share
Repor","N/a
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-27, Technical Expert,,"Current Employee, more than 5 years",Good culture,"Good culture, Benefits, Good people, Discounts
","It’s still retail
Each location has a different feel
Advice to Management
Allow for work life balance
Be the first to find this review helpful
Helpful
Share
Repor","Allow for work life balance
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-27,Anonymous,,Former Employee,Apple,"great workplace, renumeration is good
","Tough but rewarding work experience
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-27, Customer Service Representative,,"Former Employee, less than 1 year",Work from home,"Great company enjoyable times helping the customers
","The customer will get upset or angry
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-26, Support II,"Dallas, TX","Current Employee, more than 1 year",Great company hard work,"the benefits at apple are great and the company wants to treat you right
","the work sucks to be honest especially at the location i was at. extremely busy all the time and completely crazy customers. The managers did their best but they would be overwhelmed also with hundreds of employees. Dont be surprised if they dont know you after 2 weeks of work.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-26,Anonymous,,"Former Employee, more than 1 year",good,"All are very good remarks
","Nothing much to comment on the cons
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-26,Anonymous,Singapore,"Current Employee, more than 5 years",Amazing place to work,"-Amazing place to work
-Great cohesive culture
-Supportive leadership
-Challenging atmosphere
","-Not a good paymaster
-Compensation isn't that good
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-26, Battery Cell Engineer,"Cupertino, CA",Current Employee,Work life balance is not good,"Paid relatively good, but nothing compared to the housing cost in bay area.
","not much work life balance
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-26,Anonymous,Washi,Current Employee,Good experience,"None that I can think of
","Health insurance is great tbh
Advice to Management
Live it
Be the first to find this review helpful
Helpful
Share
Repor","Live it
Be the first to find this review helpful
Helpful
Share
Repor",3.0,N/A,N/A,N/A
2021-09-26,Anonymous,,Former Employee,fun,"learned a lot exposed to great opportunities
","option for promotion is limited
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-26, Sales Specialist,,"Former Employee, more than 1 year",Best Company,"Best team and tech company in the world for innovations.
","- Nothing bad about the company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-26, Operations Expert,,Former Employee,Good company,"Good benefits, stock options and good training.
","Hours can vary and schedule changes a lot.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-26, Sales Associate,"Seat Pleasant, MD","Current Employee, less than 1 year",Sales,"Lot of traffic quit asking
","Too many people in there
Advice to Management
Don’t ask
Be the first to find this review helpful
Helpful
Share
Repor","Don’t ask
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Agree,Disagree,N/A
2021-09-26, Senior ITunes Advisor,"Austin, TX","Former Employee, more than 8 years",Great benefits,"Benefits were excellent. Great health insurance. Paid vacation, sick time & extra paid child sick time. Also paid time off to go to children’s school or sport events.
","Advancement opportunities are limited, particularly for long-term employees. Each manager plays by their owns rules. Some managers do what they are expected to do. Others, they don’t and it is impactful to employee performance.
Advice to Management
Ensuring that positive communication happens would greatly impact employees.
Be the first to find this review helpful
Helpful
Share
Repor","Ensuring that positive communication happens would greatly impact employees.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-25, Operations Specialist,Singapore,"Former Employee, more than 5 years",Worth working for.,"Takes care of employees.
Good place to find out about yourself.
To learn and grow professionally and personally.
Able to forge new friendships that will last.
","Focuses on only positive things or anything related that could lead to toxic positivity.
Perceive conflict is more crucial than actual conflict.
Your reaction to their instructions is more crucial than anything else.
Advice to Management
There is always room for improvement and change.
Limiting everyone's ability to contribute isn't the way to go.
Processes and guidelines are meant to change for the better.
Be the first to find this review helpful
Helpful
Share
Repor","There is always room for improvement and change.
Limiting everyone's ability to contribute isn't the way to go.
Processes and guidelines are meant to change for the better.
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,N/A,Agree
2021-09-25, Apple Expert,"Atlanta, GA",Former Employee,Good job,"Benefits, culture, development for corporate positions
","Work environment. Can get busy
Advice to Management
None
Be the first to find this review helpful
Helpful
Share
Repor","None
Be the first to find this review helpful
Helpful
Share
Repor",5.0,N/A,N/A,N/A
2021-09-25, Genius Administrative,,"Current Employee, more than 5 years",Great benefits,"Apple provides wage works 
Great health benefits
","For some people it’s hard to be promoted especially with a large store with 300+ employees 
I’ve been in a smaller store and I moved up quickly
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,Agree,Agree
2021-09-25, Customer Service Advisor,,"Former Employee, more than 3 years",Hated it here,"Good pay and great benefits
","Hours sucked
It was not flexible
I requested to go part time when covid first started so I could care for my baby but they declined it.
Managers were following the same steps on how to improve your calls even though you did nothing wrong.
Everything was based off surveys and even if the surveys were not towards your service but towards the company in general.
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Disagree,Disagree
2021-09-25, Specialist,"Cupertino, CA","Current Employee, more than 1 year",Career growth is hard to get but not limited,"You are appreciated for what you do.
","Looking for other career path with apple is hard to get. You need to be fully prepared and make sure you are able to tell your story at its best when interviewing for any position.
Advice to Management
Less favoritism
Be the first to find this review helpful
Helpful
Share
Repor","Less favoritism
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Disagree
2021-09-25, Manager,,"Current Employee, more than 8 years",Good place to work,"High salary with great benefit
","Nothing bad. Very good company
Advice to Management
Nothing
Be the first to find this review helpful
Helpful
Share
Repor","Nothing
Be the first to find this review helpful
Helpful
Share
Repor",5.0,Agree,Agree,Agree
2021-09-25,Anonymous,,Current Employee,good place to work,"friendly, supportive, progression, educative, good environment
","management, work weekends, low pay
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
